date,pm25_kor_df,pm10_kor_df,o3_kor_df,no2_kor_df,so2_kor_df,co_kor_df,pm25_china_df,pm10_china_df,o3_china_df,no2_china_df,so2_china_df,co_china_df,Wind Speed(m/s),Humidity(%)
2016-07-16,42.06666666666667,23.533333333333335,38.6,16.8,7.733333333333333,4.8,95.29411764705883,50.11764705882353,52.1764705882353,13.529411764705882,6.882352941176471,8.352941176470589,3.1842105263157894,92.59473684210526
2016-07-17,48.06666666666667,31.933333333333334,39.46666666666667,26.533333333333335,10.4,5.533333333333333,93.88235294117646,49.1764705882353,64.47058823529412,15.176470588235293,9.117647058823529,8.823529411764707,2.110526315789474,87.5
2016-07-18,62.5625,39.9375,65.4375,31.25,9.8125,5.875,89.55555555555556,56.111111111111114,65.33333333333333,16.333333333333332,9.38888888888889,8.38888888888889,1.5578947368421054,83.34736842105262
2016-07-19,79.66666666666667,39.733333333333334,57.666666666666664,31.0,9.466666666666667,5.666666666666667,104.66666666666667,62.333333333333336,76.55555555555556,15.222222222222221,10.0,9.11111111111111,1.8,81.89999999999999
2016-07-20,80.92857142857143,33.57142857142857,49.642857142857146,26.571428571428573,9.0,5.142857142857143,112.3529411764706,66.17647058823529,78.76470588235294,14.941176470588236,8.352941176470589,8.882352941176471,2.642105263157895,79.26842105263158
2016-07-21,68.35714285714286,39.0,57.142857142857146,30.071428571428573,9.0,5.142857142857143,122.3529411764706,54.470588235294116,77.29411764705883,14.647058823529411,7.764705882352941,8.058823529411764,2.8157894736842106,78.5
2016-07-22,74.26666666666667,40.06666666666667,47.733333333333334,25.333333333333332,10.066666666666666,5.133333333333334,107.38888888888889,53.05555555555556,71.27777777777777,14.055555555555555,8.222222222222221,7.5,2.8000000000000003,79.10526315789474
2016-07-23,74.875,35.625,35.0,18.5625,9.0625,4.9375,103.47058823529412,58.411764705882355,73.41176470588235,16.470588235294116,7.470588235294118,8.352941176470589,2.5157894736842104,81.67368421052632
2016-07-24,72.5,39.8125,33.25,22.9375,8.5,5.625,111.83333333333333,66.94444444444444,79.22222222222223,18.555555555555557,7.944444444444445,9.5,2.3210526315789473,85.86842105263158
2016-07-25,79.4375,36.0625,28.9375,21.375,8.625,6.125,123.84210526315789,63.473684210526315,85.10526315789474,16.94736842105263,7.526315789473684,9.368421052631579,2.0842105263157897,85.67894736842106
2016-07-26,71.75,35.375,28.0625,19.875,9.375,5.875,123.88888888888889,63.5,76.16666666666667,15.277777777777779,6.888888888888889,8.5,2.615789473684211,82.53157894736842
2016-07-27,66.41176470588235,44.76470588235294,50.588235294117645,23.0,8.470588235294118,7.117647058823529,131.22222222222223,47.44444444444444,54.94444444444444,13.222222222222221,5.666666666666667,7.722222222222222,3.278947368421053,84.61578947368422
